TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target,Target_pca
317.87,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,1,1
331.65,Debit,Portland,Online,41.0,Engineer,61.0,1.0,4172.57,0,0
5.0400000000000205,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,0,0
214.54,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,3,3
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,0,0
841.28,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.6400000000003,1,1
38.14999999999998,Debit,Mesa,Online,26.0,Student,108.0,1.0,303.6800000000003,1,1
1036.66,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,0,0
124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,4,2
302.45,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,3,0
208.04000000000002,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,4,2
5.769999999999982,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.9700000000003,1,1
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,4,4
16.160000000000025,Debit,Milwaukee,ATM,50.0,Doctor,124.0,1.0,14401.17,4,4
486.08,Debit,Oklahoma City,Online,18.0,Student,68.0,1.0,1748.69,1,1
336.39,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,1,1
997.4299999999998,Debit,Seattle,Online,69.0,Doctor,118.0,1.0,6810.05,0,3
234.57,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.97999999999956,1,1
6.0,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,4,2
1049.9200000000003,Debit,Detroit,ATM,80.0,Retired,21.0,1.0,2037.85,0,0
227.14,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.9399999999996,1,1
233.74,Credit,Oklahoma City,Online,66.0,Retired,16.999999999999986,1.0,1066.5899999999997,3,0
45.849999999999966,Debit,Los Angeles,ATM,20.0,Student,92.0,1.0,1659.15,1,1
973.3900000000001,Debit,Sacramento,Branch,77.0,Retired,296.0,1.0,2042.2200000000003,0,0
415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,4,4
265.76,Debit,Philadelphia,Online,54.0,Retired,92.0,1.0,4446.17,0,0
69.4,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,0,0
332.93,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,3,0
267.9,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,1,1
496.03,Debit,San Francisco,Branch,61.0,Doctor,265.00000000000006,1.0,12904.66,4,4
376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,4,2
83.01999999999998,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,3,3
93.25999999999999,Credit,New York,Online,20.0,Student,72.0,1.0,1152.1999999999998,1,1
803.3700000000001,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,3,3
35.75999999999999,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999997,1,1
28.53000000000003,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,4,4
139.53,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,3,3
307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,4,2
60.650000000000006,Credit,Tucson,Branch,56.0,Retired,53.0,1.0,1047.2800000000002,3,0
74.86000000000001,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,4,4
231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76000000000022,0,0
126.20999999999998,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,0,0
506.28,Credit,Chicago,Online,53.0,Retired,162.0,2.0,1309.9499999999998,3,0
304.35,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,0,0
281.85,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,1,1
777.88,Debit,Houston,Branch,31.0,Engineer,16.999999999999986,1.0,6825.55,4,2
119.17999999999998,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,0,0
177.19,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,0,0
260.88,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.0500000000002,1,1
169.47,Debit,Chicago,Online,24.0,Student,19.0,1.0,1806.1599999999999,1,1
73.23000000000002,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.7399999999998,1,1
1362.55,Debit,El Paso,ATM,29.0,Engineer,106.0,1.0,2429.68,0,0
792.57,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.3699999999999,1,1
237.06,Debit,Phoenix,Online,71.0,Retired,46.0,1.0,1182.77,0,0
34.170000000000016,Credit,Philadelphia,Online,54.0,Engineer,54.0,1.0,726.5500000000002,3,0
740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,4,4
453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,4,4
300.47,Debit,Jacksonville,Branch,73.0,Retired,100.0,1.0,7885.64,0,0
110.93,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.35,1,1
201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,4,4
399.21,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,0,0
1041.88,Debit,Jacksonville,Online,78.0,Retired,57.0,1.0,5726.2,0,0
630.36,Debit,Mesa,ATM,62.0,Retired,52.0,1.0,1363.65,0,0
10.939999999999998,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.9899999999998,3,0
215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.28,4,2
1422.55,Debit,Washington,Branch,79.0,Retired,165.0,1.0,5674.32,0,0
444.89,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,3,3
280.57,Credit,Virginia Beach,Online,25.0,Student,24.000000000000014,1.0,293.2399999999998,1,1
488.54,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,4,2
3.300000000000068,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,3,3
20.360000000000014,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,0,0
493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,0,0
307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0000000000005,1,1
11.180000000000007,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,4,2
313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,0,0
140.98,Debit,Memphis,Branch,60.0,Engineer,100.0,1.0,8127.48,4,2
288.04,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,0,0
800.55,Debit,Oklahoma City,ATM,31.0,Engineer,108.0,1.0,9660.22,4,2
485.54,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,0,0
521.15,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,4,4
304.93,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,4,4
694.2,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,0,0
116.86000000000001,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,0,0
74.88,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.6700000000001,1,1
890.24,Credit,Las Vegas,Online,33.0,Engineer,161.0,1.0,5140.93,3,0
361.27,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,4,4
131.56,Debit,Charlotte,Branch,44.0,Doctor,42.0,1.0,5873.54,4,2
485.51,Credit,Milwaukee,Online,76.0,Retired,37.0,1.0,3074.45,3,0
547.87,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,0,0
457.3,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,4,2
506.24,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09000000000015,0,0
486.59,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,0,0
163.68,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,4,4
581.65,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.1899999999996,1,1
52.00999999999999,Debit,Mesa,ATM,48.0,Doctor,85.0,1.0,1120.8800000000006,0,0
630.24,Debit,Boston,ATM,21.0,Student,62.0,1.0,370.8100000000004,1,1
523.74,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,4,4
705.5999999999999,Debit,Phoenix,Branch,40.0,Doctor,124.0,3.0,14804.7,2,4
217.5,Credit,Denver,Branch,46.0,Engineer,35.0,1.0,3057.4,3,0
91.48000000000002,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.78,4,4
5.25,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,4,4
54.03,Credit,Milwaukee,ATM,56.0,Retired,161.0,1.0,6736.3,3,0
736.73,Debit,Memphis,Branch,48.0,Engineer,9.999999999999986,1.0,3313.07,0,0
33.06,Credit,Fort Worth,Online,53.0,Retired,170.0,1.0,1540.87,3,0
66.5,Credit,Louisville,Online,32.0,Engineer,144.0,1.0,6820.23,3,3
588.54,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.4499999999998,0,0
173.5,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.9099999999999,1,1
78.32999999999998,Credit,Memphis,Online,56.0,Engineer,189.0,1.0,7255.33,3,3
40.660000000000025,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.8400000000001,0,0
97.21999999999997,Credit,Atlanta,Branch,77.0,Retired,55.0,1.0,6647.73,3,0
34.06999999999999,Debit,Philadelphia,Branch,22.0,Student,81.0,1.0,8709.77,1,1
492.06000000000006,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.8999999999996,1,1
842.01,Credit,Virginia Beach,Online,53.0,Doctor,185.0,1.0,509.4499999999998,3,0
73.55000000000004,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,0,0
760.53,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,0,0
371.69,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,0,0
218.96000000000004,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,1,1
227.39,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.0900000000001,1,1
237.99,Credit,Kansas City,Branch,39.0,Doctor,86.0,1.0,8510.09,3,3
341.15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.3699999999999,1,1
434.58,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,4,4
312.88,Credit,Portland,Branch,54.0,Engineer,44.0,1.0,233.21000000000004,3,0
75.15,Debit,Boston,ATM,23.0,Student,154.0,1.0,1092.9199999999996,1,1
23.30000000000001,Debit,Los Angeles,ATM,59.0,Engineer,161.0,1.0,6711.15,0,0
47.379999999999995,Credit,Seattle,Online,25.0,Student,61.0,1.0,459.3699999999999,1,1
512.81,Debit,Sacramento,Branch,79.0,Retired,30.0,1.0,6994.34,0,0
488.15,Debit,Louisville,Branch,43.0,Engineer,168.0,1.0,7071.09,4,2
12.819999999999993,Debit,Fort Worth,ATM,44.0,Engineer,156.0,1.0,9045.19,4,2
66.9,Credit,Charlotte,Online,79.0,Retired,129.0,4.0,5238.71,2,3
535.91,Debit,Las Vegas,Online,43.0,Engineer,22.0,1.0,9642.12,4,2
270.72,Credit,Washington,Online,26.0,Engineer,53.0,1.0,6263.96,3,0
97.98000000000002,Debit,Denver,Branch,72.0,Retired,18.0,1.0,7460.33,0,0
196.08,Debit,San Francisco,Online,61.0,Retired,98.0,1.0,4233.82,0,0
251.18,Debit,San Jose,ATM,42.0,Engineer,246.0,1.0,8303.9,4,2
44.52000000000001,Debit,El Paso,Online,28.0,Student,205.0,1.0,314.27999999999975,1,1
178.87,Debit,Baltimore,Online,35.0,Doctor,180.0,1.0,5241.23,4,2
1176.28,Credit,Kansas City,ATM,54.0,Engineer,174.0,5.0,323.6899999999996,2,0
386.68,Debit,New York,Branch,46.0,Doctor,128.0,1.0,6863.06,4,2
167.14,Debit,Denver,Online,76.0,Retired,20.0,1.0,3877.73,0,0
345.22,Debit,Fresno,Branch,69.0,Retired,253.0,1.0,4046.58,0,0
74.85,Debit,Raleigh,ATM,72.0,Retired,117.0,1.0,2409.73,0,0
671.73,Debit,Washington,Branch,58.0,Engineer,54.0,1.0,5211.88,0,0
255.04,Debit,Seattle,ATM,45.0,Engineer,152.0,1.0,6217.86,4,2
45.77000000000001,Debit,Philadelphia,Online,25.0,Student,109.0,1.0,5978.12,1,1
329.69,Credit,San Antonio,Online,26.0,Student,66.0,1.0,1671.6599999999999,1,1
362.04,Credit,Philadelphia,Branch,58.0,Doctor,198.0,2.0,8421.88,3,3
47.41999999999999,Debit,San Diego,ATM,64.0,Doctor,28.0,1.0,8253.52,4,4
35.99000000000001,Debit,Miami,Branch,63.0,Retired,129.0,1.0,4489.79,0,0
151.19,Credit,New York,Branch,37.0,Doctor,96.0,1.0,11903.82,3,3
242.62,Credit,San Francisco,Online,22.0,Student,234.0,1.0,483.02000000000044,1,1
48.72,Debit,Virginia Beach,Branch,21.0,Student,16.999999999999986,1.0,816.0799999999999,1,1
43.46000000000001,Debit,Boston,ATM,25.0,Student,80.0,1.0,578.0599999999995,1,1
1036.21,Debit,Omaha,Online,25.0,Student,126.0,1.0,477.3000000000002,1,1
443.79,Debit,Las Vegas,ATM,53.0,Retired,87.0,1.0,3133.8500000000004,0,0
365.14,Debit,Dallas,Online,68.0,Retired,57.0,1.0,5894.09,0,0
757.41,Debit,Los Angeles,ATM,22.0,Student,37.0,1.0,9532.42,1,1
20.54000000000002,Debit,Fort Worth,Branch,51.0,Engineer,72.0,1.0,5327.03,0,0
475.36,Debit,Phoenix,ATM,34.0,Engineer,105.0,1.0,2000.6,0,0
34.74000000000001,Debit,San Francisco,ATM,56.0,Retired,24.000000000000014,1.0,6827.57,0,0
689.54,Debit,Oklahoma City,Branch,27.0,Student,93.0,1.0,1633.7600000000002,1,1
211.18,Debit,Washington,ATM,73.0,Retired,90.0,1.0,4069.17,0,0
211.36,Credit,Fort Worth,Branch,51.0,Engineer,286.00000000000006,1.0,7943.47,3,3
744.41,Credit,Houston,Online,39.0,Engineer,107.0,1.0,8842.47,3,3
61.43000000000001,Debit,Phoenix,Online,24.0,Student,170.0,1.0,1882.77,1,1
167.44,Debit,Mesa,Branch,37.0,Doctor,82.0,1.0,12526.71,4,4
361.46,Debit,Nashville,Online,21.0,Student,83.0,1.0,4737.84,1,1
378.85,Debit,Virginia Beach,Branch,78.0,Retired,126.0,1.0,2300.53,0,0
241.11,Debit,Columbus,Branch,30.0,Doctor,55.0,1.0,12385.05,4,4
131.93,Credit,Fort Worth,Branch,31.0,Engineer,13.0,1.0,4547.06,3,0
20.28000000000003,Debit,Oklahoma City,Online,36.0,Engineer,213.0,1.0,2047.83,0,0
415.88,Debit,San Diego,Branch,70.0,Doctor,170.0,1.0,10008.33,4,4
1221.65,Debit,Denver,Online,27.0,Student,153.0,1.0,243.92000000000007,1,1
100.66,Debit,Dallas,Branch,50.0,Doctor,144.0,1.0,14473.33,4,4
485.54,Debit,Louisville,Online,19.0,Student,148.0,1.0,1533.3199999999997,1,1
321.15,Debit,Los Angeles,Branch,46.0,Doctor,179.0,1.0,7005.05,4,2
711.3,Debit,San Jose,Branch,21.0,Student,51.0,1.0,955.3999999999996,1,1
12.230000000000018,Debit,Houston,ATM,42.0,Engineer,139.0,1.0,7844.88,4,2
350.94,Debit,Colorado Springs,ATM,20.0,Student,64.0,1.0,221.5600000000004,1,1
301.85,Debit,Columbus,Online,54.0,Engineer,25.0,1.0,6586.19,0,0
29.339999999999975,Debit,Louisville,Online,65.0,Retired,30.0,1.0,3944.82,0,0
231.71,Debit,Raleigh,Branch,27.0,Student,148.0,1.0,1127.98,1,1
179.43,Debit,Oklahoma City,ATM,58.0,Retired,244.0,1.0,2626.63,0,0
36.70999999999998,Debit,Jacksonville,Branch,48.0,Doctor,55.0,1.0,6459.38,4,2
138.12,Credit,Los Angeles,Branch,53.0,Doctor,281.0,1.0,1649.69,3,0
233.24,Debit,Louisville,ATM,33.0,Engineer,72.0,1.0,6939.23,4,2
609.14,Debit,Tucson,ATM,39.0,Engineer,177.0,1.0,9033.87,4,2
436.64,Debit,Los Angeles,Branch,31.0,Doctor,111.0,1.0,14365.18,4,4
870.4299999999998,Debit,Los Angeles,Branch,29.0,Doctor,55.0,1.0,10115.18,4,2
354.4,Debit,Chicago,ATM,74.0,Retired,128.0,1.0,7358.65,0,0
22.629999999999995,Debit,Kansas City,Online,53.0,Engineer,112.0,1.0,4438.03,0,0
182.19,Debit,Mesa,Branch,26.0,Student,53.0,1.0,1176.0999999999995,1,1
126.81,Debit,Philadelphia,Branch,26.0,Engineer,290.0,1.0,5427.98,4,2
288.17,Debit,Virginia Beach,Online,37.0,Engineer,50.0,1.0,3653.11,0,0
118.76999999999998,Debit,Atlanta,Branch,55.0,Engineer,123.0,1.0,2104.82,0,0
651.82,Debit,Indianapolis,ATM,21.0,Student,166.0,1.0,1802.77,1,1
66.65,Debit,Detroit,ATM,37.0,Engineer,33.0,1.0,3559.96,0,0
98.53,Debit,Denver,Branch,69.0,Retired,166.0,1.0,3564.8,0,0
